./test/negative/nega_001.jpg, [], [] 
./test/negative/nega_136.jpg, [], [] 
./test/negative/nega_137.jpg, [], [] 
./test/negative/nega_138.jpg, [], [] 
./test/negative/nega_139.jpg, [], [] 
./test/negative/nega_140.jpg, [], [] 
./test/negative/nega_141.jpg, [], [] 
./test/negative/nega_142.jpg, [], [] 
./test/negative/nega_143.jpg, [], [] 
./test/negative/nega_144.jpg, [], [] 
./test/negative/nega_145.jpg, [], [] 
./test/negative/nega_146.jpg, [], [] 
./test/negative/nega_147.jpg, [], [] 
./test/negative/nega_148.jpg, [], [] 
./test/negative/nega_149.jpg, [], [] 
./test/negative/nega_150.jpg, [], [] 
./test/negative/nega_151.jpg, [0], [0.4157542] 
./test/negative/nega_152.jpg, [], [] 
./test/negative/nega_153.jpg, [], [] 
./test/negative/nega_154.jpg, [], [] 
./test/negative/nega_155.jpg, [0], [0.4365813] 
./test/negative/nega_156.jpg, [], [] 
./test/negative/nega_157.jpg, [], [] 
./test/negative/nega_158.jpg, [], [] 
./test/negative/nega_159.jpg, [], [] 
./test/negative/nega_160.jpg, [], [] 
./test/negative/nega_161.jpg, [], [] 
./test/negative/nega_162.jpg, [], [] 
./test/negative/nega_163.jpg, [], [] 
./test/negative/nega_164.jpg, [], [] 
./test/negative/nega_165.jpg, [], [] 
./test/negative/nega_166.jpg, [], [] 
./test/negative/nega_167.jpg, [], [] 
./test/negative/nega_168.jpg, [], [] 
./test/negative/nega_169.jpg, [], [] 
./test/negative/nega_170.jpg, [], [] 
./test/negative/nega_171.jpg, [2], [0.47108808] 
./test/negative/nega_172.jpg, [], [] 
./test/negative/nega_173.jpg, [], [] 
./test/negative/nega_174.jpg, [], [] 
./test/negative/nega_175.jpg, [], [] 
./test/negative/nega_176.jpg, [], [] 
./test/negative/nega_177.jpg, [], [] 
./test/negative/nega_178.jpg, [2], [0.41032007] 
./test/negative/nega_179.jpg, [2 3], [0.6395828  0.42614457] 
./test/negative/nega_180.jpg, [], [] 
./test/negative/nega_181.jpg, [], [] 
./test/negative/nega_182.jpg, [2], [0.64107925] 
./test/negative/nega_183.jpg, [], [] 
./test/negative/nega_184.jpg, [], [] 
./test/negative/nega_185.jpg, [], [] 
./test/negative/nega_186.jpg, [0], [0.7051195] 
./test/negative/nega_187.jpg, [], [] 
./test/negative/nega_188.jpg, [], [] 
./test/negative/nega_189.jpg, [], [] 
./test/negative/nega_190.jpg, [0], [0.96884173] 
./test/negative/nega_191.jpg, [0], [0.5735863] 
./test/negative/nega_192.jpg, [], [] 
./test/negative/nega_193.jpg, [], [] 
./test/negative/nega_194.jpg, [], [] 
./test/negative/nega_195.jpg, [2], [0.6284648] 
./test/negative/nega_196.jpg, [0], [0.49330193] 
./test/negative/nega_197.jpg, [], [] 
./test/negative/nega_198.jpg, [2], [0.66344684] 
./test/negative/nega_199.jpg, [], [] 
./test/negative/nega_200.jpg, [], [] 
./test/negative/nega_201.jpg, [], [] 
./test/negative/nega_202.jpg, [], [] 
./test/negative/nega_203.jpg, [], [] 
./test/negative/nega_204.jpg, [], [] 
./test/negative/nega_205.jpg, [], [] 
./test/negative/nega_206.jpg, [], [] 
./test/negative/nega_207.jpg, [0], [0.6162772] 
./test/negative/nega_208.jpg, [], [] 
./test/negative/nega_209.jpg, [2], [0.51369977] 
./test/negative/nega_210.jpg, [], [] 
./test/negative/nega_211.jpg, [], [] 
./test/negative/nega_212.jpg, [], [] 
./test/negative/nega_213.jpg, [], [] 
./test/negative/nega_214.jpg, [], [] 
./test/negative/nega_215.jpg, [], [] 
